parameter,value_low,value_central,value_high,unit,confidence,source,notes
dclaam_selectivity_combined_estimate,2.5,11.0,50.0,ratio,LOW,"Product of dclaam_selectivity_enzymatic_invitro (Wang 2017 Fig 3d + Supp Fig 5d) × dclaam_selectivity_warburg_amplifier (Vander Heiden 2009)","UPDATED 2026-05-12 TL-17: central = 3.7 × 3.0 = 11.1x. Upper = 5.0 × 10.0 = 50x (Warburg-extreme). Lower = 2.5 × 1.0 = 2.5x (in vitro floor). NOTE: in vivo translation drops this further to ~1.5x (see dclaam_in_vivo_translation)."
nk92_baseline_killing_10to1,35.0,43.0,50.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 10:1 E:T; plain NK-92 (NOT pM-NK)"
nk92_baseline_killing_5to1,18.0,23.0,28.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 5:1 E:T; plain NK-92"
nk92_baseline_killing_1to1,5.0,8.0,12.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 1:1 E:T; plain NK-92"
nk92_enhanced_killing_10to1,65.0,73.0,80.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 10:1 E:T; pM-NK (click-enhanced)"
immune_synapse_area,1.0,3.0,5.0,um2,MODERATE,"Mace 2014, Orange 2008",
bond_threshold_conjugation,50.0,100.0,500.0,bonds,LOW,"Zhu 2008, Chesla 1998","For stable conjugation (INITIATION physics). Reinforcement count threshold (the ~5-bond figure) is conservative/loose physics with no primary citation; force-based threshold (see W2/M4 in THESIS_LOG TL-24, notebooks/M4_bell_force_threshold.py) shows N_threshold approx 1-2 for covalent triazole bonds. The 5-bond count is retained for historical comparison only."
bond_threshold_force_balance,2.0,4.0,15.0,bonds,MODERATE,"Bell 1978; Evans & Ritchie 1997; single-lipid-extraction ~50 pN; membrane-protein extraction 20-200 pN (M4 v2 full-chain, TL-39)","FULL-LINK-CHAIN force-balance threshold (M4 v2, B3 fix, TL-39). CORRECTED from the v1 N*=1-2 single-bond claim, which was a SINGLE-BOND result silently applied to the WHOLE SYNAPSE. The tether is a SERIES chain [tumour cytoskeleton - glycoprotein anchor - azide = TRIAZOLE = DBCO-PEG-DSPE - NK membrane]; it fails at the WEAKEST link. The triazole (4-5 nN) is the STRONGEST link and irrelevant to failure. The weakest link is a MEMBRANE-ANCHOR EXTRACTION event: DSPE lipid pull-out (~30-150 pN) or azido-glycoprotein extraction (~20-200 pN), the SAME order as the NK retraction force (10-100 pN). Corrected N* = ceil(safety x F_tension / F_weakest): ~2 (central tension, s=1) to ~15 (high tension 100 pN, s=3 redundancy), NOT 1. Redundancy (multiple parallel tethers) is therefore physically motivated to guard against anchor extraction. DEMOTED HIGH->MODERATE per ADVERSARIAL_AUDIT_v2 B3: cannot be HIGH while the DSPE/glycoprotein extraction forces are ESTIMATED. Source: notebooks/M4_bell_force_threshold.py (v2), results/M4_force_diagnostics_*.json."
lateral_diffusion_flux_form,NA,NA,NA,form,HIGH,"Berg 1983 (diffusion to a disk); boundary-layer scaling","Corrected functional form of the A2-Enhanced lateral DBCO replenishment flux (W2/M4 TL-24). OLD (dimensionally WRONG): J = D * (sigma_bulk - sigma_zone) * perimeter * alpha, units molecules*um/s. NEW (Form B, dimensionally correct): J = D * (Delta_sigma / delta_BL) * perimeter * alpha with delta_BL = r_contact, units molecules/s. The corrected form gives the SAME ~12.87 bonds at alpha=0.15 because the missing length factor was O(1) (r_contact approx 1.26 um) and the replenishment is diffusion-saturated (result insensitive to D over 100x and to delta_BL over 5x; Berg 2-D disk form k=2*pi*D/ln(b/r) gives 12.84). Implemented in notebooks/A2_enhanced_dynamics.py."
nk_serial_killing,4.0,5.0,7.0,kills,MODERATE,Bhat & Bhatt 2015,
tco_serum_halflife,4.0,8.0,12.0,hours,MODERATE,Rossin 2013,Isomerisation to CCO
steric_accessibility_factor,0.1,0.2,0.35,fraction,MODERATE,"Estimated; ligand-class anchors: PEG-DBCO 0.10-0.15 (Niu 2024), nanobody-DBCO 0.20-0.25 (Gong 2021), aptamer 0.28-0.35 (Zhang 2020)","Not all surface groups face contact zone; now ligand-class-discrete rather than flat prior. Includes geometric accessibility only — conjugation efficiency absorbed by functional_ligand_per_nk"
contact_area,1.0,3.0,5.0,um2,MODERATE,"Mace 2014, Orange 2008",
reactive_zone_thickness,10.0,30.0,50.0,nm,LOW,Estimated,PEG extension + azide height constrained by gap
dbco_density_per_nk,50000.0,100000.0,200000.0,per_cell,MODERATE,"DSPE-PEG-DBCO loading estimates; Gong 2021 (nanobody conjugation validates range)","Raw DBCO available on NK surface. Note: functional conjugated ligands are 10^2-10^3 lower — see functional_ligand_per_nk"
nk_surface_area,400.0,500.0,600.0,um2,MODERATE,Standard NK cell size,
cancer_cell_surface_area,800.0,1000.0,1200.0,um2,MODERATE,Typical adherent cancer cell,
k2_dbco_thiol,0.01,0.05,0.1,M-1s-1,MODERATE,"van Geel 2012, Dommerholt 2016",DBCO strain-promoted thiol-yne
thiol_conc_serum_free,1e-06,5e-06,1e-05,M,MODERATE,Secreted GSH estimates,In vitro serum-free culture
thiol_conc_full_serum,0.0003,0.0005,0.0007,M,HIGH,Standard clinical chemistry,Albumin Cys-34 + free GSH
azide_surface_halflife,4.0,8.0,12.0,hours,MODERATE,Tian & Bhatt 2016 review,Sialoglycoprotein endocytic recycling
synapse_maturation_tau,300.0,420.0,600.0,seconds,MODERATE,"Orange 2008, Mace 2014",NK synapse maturation time constant
contact_area_min,0.3,0.5,1.0,um2,MODERATE,Orange 2008,Initial scanning contact
contact_area_max,3.0,5.0,7.0,um2,MODERATE,Mace 2014,Mature NK immune synapse
lateral_diffusion_coeff,0.1,0.5,1.0,um2/s,MODERATE,Fujiwara 2002,Lipid-anchored molecules in cell membrane
bond_feedback_threshold,1.0,3.0,5.0,bonds,LOW,Estimated,Bonds needed to halve synapse maturation time
k_iso_tco_serum_free,8e-06,1.6e-05,2.4e-05,1/s,MODERATE,Rossin 2013,TCO thermal isomerisation t½=8-24h serum-free (37°C)
k_iso_tco_full_serum,1.6e-05,2.4e-05,4.8e-05,1/s,MODERATE,Rossin 2013,TCO isomerisation t½=4-12h in serum (ceruloplasmin-accelerated)
contact_freq_nk_mda,25.0,31.0,37.0,contacts/50cells,HIGH,Niu 2024 Fig 2C (digitised),"NK→MDA-MB-231, n=50 observed cells"
contact_freq_pmnk_mda,65.0,78.0,90.0,contacts/50cells,HIGH,Niu 2024 Fig 2C (digitised),pM-NK→MDA-MB-231; 2.5x increase over baseline
contact_freq_nk_hela,24.0,30.0,36.0,contacts/50cells,HIGH,Niu 2024 Fig 2C (digitised),NK→HeLa (control)
contact_freq_pmnk_hela,32.0,38.0,45.0,contacts/50cells,HIGH,Niu 2024 Fig 2C (digitised),pM-NK→HeLa; only 1.3x (selectivity!)
contact_duration_nk_mda,15.0,29.0,60.0,minutes,HIGH,Niu 2024 Fig 2D (paper + digitised),NK→MDA median; range from scatter distribution
contact_duration_pmnk_mda,30.0,56.0,120.0,minutes,HIGH,Niu 2024 Fig 2D (paper + digitised),pM-NK→MDA median ~56 min; VALIDATES reinforcement hypothesis
dclaam_labeling_time,12.0,24.0,48.0,hours,HIGH,Wang 2017 Fig 3f,Labeling essentially complete within 24h in vivo
dbco_per_antibody_molecule,8.0,10.5,13.0,copies,HIGH,Wang 2021 (ACS Chem Biol),At 0.5mM DBCO-PEG4-NHS; mass spectrometry
antibody_molecules_per_nk92,1000000.0,1400000.0,2000000.0,per_cell,HIGH,Wang 2021 (ACS Chem Biol),352 ng CET/million NK92 cells = 1.4e6 molecules
surface_cargo_halflife_nk92,18.0,24.0,36.0,hours,MODERATE,Wang 2021 (ACS Chem Biol),CET half-life on NK92 surface; membrane turnover
azide_density_nk92_ac4mannaz,100000000.0,500000000.0,1000000000.0,per_cell,MODERATE,Yang 2024 (Nano Lett),NK92 with Ac4ManNAZ; higher than tumor labeling due to direct application
nk_per_tumor_nanoadaptor,5.0,7.0,10.0,NK/tumor,MODERATE,"Yang 2024 Fig 2f,g",With HA-DBCO nanoadaptor; shows multivalent binding
nk92_enhanced_killing_5to1,40.0,48.0,55.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 5:1 E:T; pM-NK"
nk92_enhanced_killing_1to1,20.0,27.0,33.0,percent,HIGH,Niu 2024 Fig 3B (digitised),"MDA-MB-231, 4h, 1:1 E:T; pM-NK"
functional_ligand_per_nk_nanobody,30.0,38.0,45.0,per_cell,MODERATE,"Gong 2021 (saturation at ~20 uM DBCO-7D12)","Functional nanobody-DBCO conjugated on NK surface; ~10^3 lower than raw DBCO count"
functional_ligand_per_nk_antibody,100.0,150.0,200.0,per_cell,LOW,"Estimated from Wang 2021 antibody loading efficiency","Functional antibody molecules conjugated via DBCO-SPAAC on NK"
functional_ligand_per_nk_aptamer,500.0,750.0,1000.0,per_cell,LOW,"Estimated from Zhang 2020 dual-aptamer loading","Flexible ssDNA aptamers; higher surface density than rigid protein ligands"
synergy_damping_eta,0.6,0.7,0.8,fraction,MODERATE,"Meng 2022 (targeting+IL-21), Zhang 2020 (dual aptamer)","Sub-multiplicative synergy factor for multi-modal MCK combinations; combined effect = individual_1 × individual_2 × eta"
ac4mannaz_toxicity_ceiling,50.0,50.0,50.0,uM,HIGH,"Gong 2021, Zhang 2020, Niu 2024 (consensus across papers)","Maximum safe Ac4ManAz concentration; 75 uM causes NK cell death. Cannot be increased for efficacy gains"
hill_coefficient_n,1.5,2.0,2.5,dimensionless,MODERATE,"Orange 2013 (n=2 analogy), Meng 2022 Fig 3a/b (n~1.5-2 independent anchor)","Two independent anchors: Orange NK synapse cooperativity + Meng E:T dose-response curve shape"
multivalent_contact_freq_boost,1.8,2.3,2.8,fold,HIGH,"Niu 2024 Fig 2C (paper text reports 2.3x; our digitised central is 2.5x)","pM-NK vs NK contact frequency on MDA-MB-231. CORRECTED 2026-05-12 (TL-11): previously miscited as Yang 2024 Fig 2 — Yang doesn't measure contact frequency in this way."
multivalent_contact_duration_boost,1.5,1.9,2.3,fold,HIGH,"Niu 2024 Fig 2D (56 min pM-NK / 29 min NK = 1.93x)","Contact duration ratio pM-NK / NK on MDA-MB-231. CORRECTED 2026-05-12 (TL-11): previously miscited as Yang 2024."
selectivity_targeting_only,1.5,1.9,2.5,ratio,MODERATE,"Zhang 2020 (HepG2/HeLa dual-aptamer)","Selectivity from targeting ligand alone (no DCL-AAM enzyme gating). Floor for MCK; DCL-AAM 30x is multiplicative on top"
meng_lysis_025to1,30.0,40.0,50.0,percent,MODERATE,Meng 2022 Fig 3a,"N3-NK-NPs+BCN-Raji, 24h, 0.25:1 E:T; independent Hill anchor"
meng_lysis_1to1,85.0,95.0,98.0,percent,MODERATE,Meng 2022 Fig 3a,"N3-NK-NPs+BCN-Raji, 24h, 1:1 E:T; note 24h assay vs Niu 4h"
yang_cytotoxicity_boost,1.5,1.54,1.6,fold,HIGH,"Yang 2024 Fig 2h","NK92-N3 + nanoadaptor on A549 (81.9%) vs native NK92 (53.2%) at NK:A549=3:1. Yang's actual measured click-mediated enhancement; replaces miscitation of contact frequency/duration boosts (TL-11)."
dclaam_in_vivo_translation,1.4,1.5,1.55,fold,HIGH,"Wang 2017 Fig 4b/c (1.52x Cy5 retention), Fig 5b (1.46x DBCO-VC-Dox accumulation)","IN VIVO cancer/PBS ratio is dramatically smaller than IN VITRO ratio in Fig 3d (the source of our 30x). Anchors the translation-gap caveat (TL-12). MCK 30x in vitro selectivity is expected to translate to ~1.5x in vivo drug accumulation"
pm_nk_huvec_lysis_baseline,1.3,1.8,2.4,percent,HIGH,"Niu 2024 Supp Fig S12","Lysis of normal HUVECs by pM-NK at 10:1 E:T, n=3. Indistinguishable from plain NK (1.81%), proving pM-NK targeting is selective for cancer. Added TL-18 2026-05-12."
pm_nk_system_functional_selectivity,30,40,50,ratio,HIGH,"Niu 2024 Fig 3B + Supp S12","SYSTEM-LEVEL FUNCTIONAL SELECTIVITY (NK-intrinsic × click-attributable), NOT a pure MCK-intervention number. pM-NK lysis of MDA-MB-231 (72.5%, Fig 3B) / pM-NK lysis of HUVEC (1.83%, Supp S12) = 39.6x. REFRAMED 2026-06-11 TL-22 (W1 fix): this decomposes into NK-intrinsic tropism 23.86x (nk_intrinsic_selectivity_mda_huvec) × click-attributable 1.66x (click_attributable_selectivity_huvec_control). The ~24x is NK biology measured before any click chemistry and must NOT be attributed to MCK. Lead the thesis with the click-attributable 1.4-1.7x; quote this 40x only as combined system-level functional selectivity with the decomposition shown. Caveat: HUVEC is endothelial; MDA is breast epithelial. Added TL-18; reframed TL-22."
nk_intrinsic_selectivity_mda_huvec,20,23.86,28,ratio,HIGH,"Niu 2024 Fig 3B (calib) + Supp S12","Plain (unmodified) NK-92 lysis of MDA-MB-231 (43.19%, 10:1 E:T) / plain NK lysis of HUVEC (1.81%, Supp S12) = 23.86x. INTRINSIC NK TROPISM, measured with NO click chemistry — this is a property of NK biology (MDA is NK-sensitive: low MHC-I, stress ligands; HUVEC is a self-tolerant normal cell), NOT of the MCK intervention. Added TL-22 2026-06-11 (W1 decomposition). Source corrected Fig 3D->3B per W8 (2026-06-12): Fig 3B is the LDH E:T-ratio panel."
click_attributable_selectivity_huvec_control,1.4,1.66,1.9,ratio,HIGH,"Niu 2024 Fig 3B + Supp S12","CLICK-ATTRIBUTABLE selectivity via HUVEC control: system functional selectivity (39.61x) / NK-intrinsic selectivity (23.86x) = 1.66x. The selectivity gain the MCK click intervention adds on top of NK's intrinsic tumour tropism. Added TL-22 2026-06-11 (W1 decomposition). Source corrected Fig 3D->3B per W8 (2026-06-12)."
click_attributable_selectivity_hela_control,1.2,1.44,1.7,ratio,HIGH,"Niu 2024 Fig 3B (internal MDA-vs-HeLa control)","CLICK-TARGETING selectivity via internal MDA-vs-HeLa control (PREFERRED click-attributable number — controls out NK-ligand/MHC-I confounders because HeLa is ALSO NK-sensitive). Click enhances MDA killing 1.678x (pM-NK 72.49 / NK 43.19) but HeLa only 1.166x (pM-NK 48.84 / NK 41.90); ratio = 1.44x. Cleaner than the HUVEC control (which is confounded by tissue-of-origin and ligand differences). Added TL-22 2026-06-11 (W1 decomposition / M1). Source corrected Fig 3D->3B per W8 (2026-06-12)."
pm_glycopolymer_optimal_concentration,1.0,1.5,2.0,mg/mL,HIGH,"Niu 2024 Supp Fig S11","Killing efficacy plateaus between 1.5 and 2.0 mg/mL glycopolymer (n.s. difference). Optimal therapeutic dose = 1.5 mg/mL (max efficacy, min reagent). 0.1 mg/mL gives 47% lysis; 1.5 mg/mL gives 71%. Saturation kinetics. Added TL-18."
mda_pmnk_intra_system_enhancement,7.0,7.85,8.5,ratio,HIGH,"Niu 2024 Supp Table S3","PI fluorescence in MDA-MB-231: pM-NK (73.108) / NK (9.315) = 7.85x intra-system enhancement. INTRA-system metric (same target, different effectors) — quantitative proxy for the click-arming benefit. Added TL-18."
tpnk_hela_vs_hepg2_selectivity,1.5,1.83,2.5,ratio,HIGH,"Zhang 2020 main Fig 2b + Supp S8","T-P-NK lysis of HepG2 (65%, main Fig 2b) / T-P-NK lysis of HeLa (35.5%, Supp S8) = 1.83x. Target-vs-bystander selectivity (both lines are cancer; HeLa is the non-targeted cancer). Independent confirmation of Zhangs reported 1.9x selectivity. Added TL-18."
gong_egfr_negative_sw620_control,0.9,1.0,1.1,ratio,HIGH,"Gong 2021 Supp Fig S7","Cytotoxicity of 7D12-NK92MI on EGFR-negative SW620 = 1.0x (n.s. vs unarmed NK92MI). Selectivity control: arming gives NO enhancement on EGFR-negative cells. Direct evidence that the click-system is target-antigen-dependent. Added TL-18."
wang_dclaam_in_tumour_coverage,60,66,72,percent,HIGH,"Wang 2017 Supp Fig 9c","% of tumour tissue with Cy5 intensity >= 50 a.u. after i.v. DCL-AAM + DBCO-Cy5. DCL-AAM achieves 66.1% in-tumour coverage; Ac4ManAz only 20.6%. DCL-AAM is 3.2x more concentrated in tumour despite Ac4ManAz being non-selective — because DCL-AAM doesnt label off-target tissues. Added TL-18."
k_incorp_a0_surface,2.32e5,3.03e5,3.99e5,molecules/cell/(M·s),HIGH,"Wang 2017 Fig 3f (2-param fit); bootstrap 95% CI [2.32e5, 3.99e5] (W3/TL-23)","Rate constant for active drug → surface azidoglycoprotein incorporation. Fit jointly with k_clear_active to Wang 2017 Fig 3f time-course (4 concentrations × 7 timepoints on LS174T cells). Added TL-21. W3/TL-23 2026-06-11: nonparametric bootstrap (N=200) gives a point-identified 95% CI [2.32e5, 3.99e5] (CI-width/median=0.55) — this parameter IS identifiable (unlike k_clear_active). Value/range tightened to the bootstrap CI. CAVEAT: the time-course fit validates monotonic saturating accumulation, NOT the dual-lock mechanism specifically — a structureless saturating-exponential null fits Fig 3f BETTER (null beats A0 at delta-AIC approx 20, both log- and linear-space; W3 diagnostics). The AND-gate mechanism's support comes from Wang's enzyme-inhibitor controls (Supp 5d), not from this curve fit."
k_clear_active_fit,1e-8,1e-8,1e-3,1/s,LOW,"Wang 2017 Fig 3f (2-param fit) — BOUNDED ABOVE, not point-identified (W3/TL-23)","NON-IDENTIFIABLE; data constrain only k_clear_active < ~3e-7/s (an UPPER bound, not a point estimate). The optimiser pinned to the lower search bound (1e-8/s); the 1-D SSR profile is flat over ~0.8 decades and the value is unidentified below ~3e-7/s (W3 diagnostics, results/W3_A0_diagnostics_20260611_184401.json). DEMOTED HIGH->LOW (TL-23 2026-06-11): the previous HIGH-confidence FITTED label was misleading because a boundary solution means the data say only 'negligible', not a value. Morris sensitivity ranks this parameter #2 of 11 (mu_star_total=76.9) for cancer-vs-normal selectivity — a parameter the data DON'T constrain but the model IS highly sensitive to: classic non-identifiable-but-influential. Report as bounded, never as a point value. Supersedes TL-21 HIGH-confidence labelling."
k_surf_azidoglycoprotein,1.4e-5,2.4e-5,3.5e-5,1/s,MODERATE,"Tian & Bhatt 2016 (sialoglycoprotein endocytic recycling)","Surface azido-glycoprotein turnover rate (corresponds to 8h half-life, range 5.5-14h). This is the bottleneck for surface azide persistence — sets the in-vivo therapeutic window for click reactions after metabolic labelling. Used in A0 surface-incorporation extension (TL-19/21) and A2-Enhanced cargo decay."
joint_viability_fraction,0.0082,0.0106,0.0122,fraction,SUPERSEDED-FOR-NAÏVE-TIER,"N=20000 LHS full-cascade sweep with click_attributable_selectivity in [1.0, 2.5] (W5/W6 TL-25); range from Hill n=1.5/2.0/2.5","P(steric feasible AND TI>3), the JOINT viability — the central headline statistic that was previously buried behind the TI-only marginal. Computed by intersecting boolean masks (margin>0) & (TI>3) in the LHS array: 1.06% at Hill n=2.0 (results/sweep_full_20260611_200019_alpha0.15_PEG.json joint_steric_and_TI3=0.0106), 0.82% at n=1.5, 1.22% at n=2.5 (results/sweep_hill_full_20260611_200304.json). The joint is steric-bottlenecked: the 2.87% steric-feasible marginal is the binding constraint, not the 35.8% TI>3 marginal. This is the volume of an honestly-anchored parameter space, NOT a probability MCK works. The marginal TI>3 (35.8%) rose from the stale 29.6% only because the W1 prior was re-centred (selectivity_mult (0.1,3.0) -> click_attributable_selectivity (1.0,2.5)); the joint is dominated by steric reach. Added TL-25 2026-06-11 (W5/W6). Applies to pre-TL-39 static-compression sweep only. Current naïve joint viability = 0.00% (TL-39/50); three-tier framing: single-lever mucinase 0.62% (TL-52), stacked mucinase × rigid_stalk 8.01% (TL-54)."
ti_median_headline,1.36,2.44,9.53,ratio,SUPERSEDED-FOR-NAÏVE-TIER,"N=20000 LHS full-cascade sweep with click_attributable_selectivity in [1.0, 2.5] (W5/W6 TL-25); value_low=p5, central=median, value_high=p95","Swept therapeutic-index distribution at the corrected W1 prior (Hill n=2.0): median 2.44, p5 1.36, p95 9.53, marginal frac TI>3 = 35.8%. SUPERSEDES the stale (median 2.16, p95 8.70, 29.6% TI>3) computed against the OLD selectivity_mult (0.1,3.0) prior. The swept distribution is conditioned on the priors; at FIXED Niu-anchored click-attributable selectivity on the central trajectory, TI = 2.54 (1.44x), 2.72 (1.66x), 2.74 (1.70x) — all below 3, so the swept frac>3 is driven by favourable-P_base (NK-resistant-target) combinations, not by click selectivity at its measured value (W6, results/W6_fixed_selectivity_TI_20260611_194439.json). Added TL-25 2026-06-11. Applies to pre-TL-39 static-compression sweep only. Current naïve joint viability = 0.00% (TL-39/50); three-tier framing: single-lever mucinase 0.62% (TL-52), stacked mucinase × rigid_stalk 8.01% (TL-54)."
dbco_thiol_halflife_hrs,3.9,7.7,38.5,hours,HIGH,"Agard 2009 + Hong 2010 + A2-Enhanced k_thiol_FS (k2_dbco_thiol 0.05 M-1s-1 x serum thiol)","DBCO functional half-life from the serum-thiol side reaction (strain-promoted thiol-yne; van Geel 2012, Dommerholt 2016). t1/2 = ln(2)/(k2_thiol x [thiol]): 7.7h at central 500 uM serum thiol, 3.9h at 1000 uM, 38.5h at 100 uM. Identical kinetics to A2_enhanced_dynamics.py k_thiol_FS. This is the DOMINANT DBCO sink during NK circulation (M2/M3 budget, TL-26): it consumes ~66% of DBCO over a 12h circulation, vs ~0.5% for the shed-azide decoy. Source: notebooks/M3_serum_thiol_budget.py."
nk_circulation_to_tumour_hrs,4.0,12.0,24.0,hours,MODERATE,"NK-cell biodistribution literature (Meier 2008 In111-NK imaging; Matera 2014; Melder 1993 NK tumour homing)","Time from IV NK injection to tumour contact-zone arrival. NK cells distribute to lung within minutes then redistribute over hours; tumour accumulation peaks ~4-24h post-IV (mouse biodistribution, route-dependent). Central 12h, optimistic 4h, pessimistic 24h. Sets the exposure window over which the thiol/decoy sinks consume DBCO before contact (M2/M3 budget, TL-26). Source: notebooks/M3_serum_thiol_budget.py, M2_M3_combined_DBCO_budget.py."
dbco_surviving_fraction_central_12h,0.0132,0.338,0.831,fraction,HIGH,"M2/M3 combined parallel-sink budget (TL-26): thiol (k2=0.05) + decoy (k_SPAAC x shed-azide), 500 uM thiol central","Fraction of the 1e5 DBCO/NK still armed at the tumour contact zone after circulation. value_central=0.338 (12h, 500 uM thiol, central decoy) = 3.4e4 surviving DBCO -> ~51 in the contact zone (alpha*A_c/SA), >> force-balance threshold 1-2 (M4). value_low=0.0132 (pessimistic 24h/1000 uM = 1.3e3 surviving, still VIABLE), value_high=0.831 (optimistic 4h/250 uM). Even the pessimistic corner clears the force-balance threshold. Decoy is negligible; thiol dominates. iEDDA survives ~90% at 12h (no decoy partner, 10x-stabler reagent). Source: notebooks/M2_M3_combined_DBCO_budget.py."
